奔驰 C级 2015款 1.6T 自动 C180L,28.68,35.36,6.1万公里,2015-03,国5,1.6L/AT自动
雪佛兰 迈锐宝 2013款 2.4 自动 豪华版,11.3,21.7,7.2万公里,2013-08,国4,2.4L/AT自动
奔驰 CLS级三厢 2012款 3.5 自动 CLS300,38.8,83.36,3.9万公里,2012-06,国4,3.5L/AT自动
奔驰 唯雅诺 2010款 2.5 自动 尊贵版,17.68,47.54,9.3万公里,2010-11,国4,2.5L/AT自动
宝马 4系Coupe 2014款 2.0T 自动 420i Gran Coupe时尚型,35.3,52.1,7.2万公里,2016-03,国5,2.0L/AT自动
福特 金牛座 2016款 1.5T 自动 EcoBoost180豪华型,19.98,25.38,0.3万公里,2016-09,国5,1.5L/AT自动
福特 福克斯三厢 2012款 1.6 手动 风尚型,6.6,14.43,7.1万公里,2013-02,国4,1.6L/MT手动
奥迪 A5掀背 2012款 2.0T 自动 TFSI ,26.8,54.25,5.0万公里,2012-08,国4,2.0L/CVT无级变速
奔驰 B级 2015款 1.6T 自动 B200动感型,21.8,28.44,3.5万公里,2016-03,国5,1.6L/DCT双离合
本田 CR-V 2010款 2.4 自动 VTi豪华型四驱,12.78,26.03,5.4万公里,2011-06,国4,2.4L/AT自动
宝马 1系两厢五门版 2013款 1.6T 自动 116i领先版 改款,16.8,28.44,5.0万公里,2014-08,国4,1.6L/AT自动
奔驰 GLA级 2016款 2.0T 自动 GLA220时尚型四驱,29.98,34.71,4.1万公里,2016-02,国5,2.0L/DCT双离合
福特 福克斯两厢 2012款 1.6 自动 舒适型,7.98,14.21,2.3万公里,2014-09,国4,1.6L/DCT双离合
马自达 马自达3 2008款 1.6 自动 标准型,5.8,13.89,10.7万公里,2011-10,国4,1.6L/AT自动
丰田 凯美瑞 2010款 2.0 自动 200G经典型,10.86,20.93,7.6万公里,2011-12,国4,2.0L/AT自动
斯柯达 昕锐 2016款 1.6 手动 前行版,6.2,9.22,1.7万公里,2016-10,国5,1.6L/MT手动
现代 朗动 2015款 1.6 自动 GLX领先型,8.98,13.87,3.9万公里,2015-09,国4,1.6L/AT自动
标致 308 2012款 2.0 自动 尊尚型,7.38,15.4,6.2万公里,2012-08,国4,2.0L/AT自动
现代 途胜 2015款 1.6T 自动 智能型前驱,14.88,19.53,1.8万公里,2016-01,国4,1.6L/DCT双离合
福特 福克斯两厢 2011款 1.8 手动 舒适型,6.38,12.46,9.1万公里,2012-04,国4,1.8L/MT手动
大众 宝来三厢 2011款 1.6 手动 舒适型,4.8,12.9,5.9万公里,2010-12,国4,1.6L/MT手动
保时捷 Panamera 2014款 3.0T 自动 四驱,80.8,135.14,4.5万公里,2013-12,国4,3.0L/DCT双离合
日产 天籁 2011款 2.5 自动 XL领先版,13.2,24.4,6.9万公里,2013-01,国4,2.5L/CVT无级变速
奥迪 A6L 2014款 2.0T 自动 TFSI标准型,29.3,44.48,7.8万公里,2014-12,国5,2.0L/CVT无级变速
雪佛兰 迈锐宝 2014款 2.0 自动 豪华版,13.68,20.29,2.2万公里,2015-05,国5,2.0L/AT自动
丰田 塞纳 2011款 3.5 自动 四驱,42.5,75.98,4.3万公里,2015-05,国4,3.5L/AT自动
福特 嘉年华两厢 2011款 1.5 自动 时尚型,5.58,10.63,3.5万公里,2012-02,国4,1.5L/AT自动
宝马 X1 2012款 2.0 自动 18i时尚型后驱,16.5,30.61,7.5万公里,2012-10,国4,2.0L/AT自动
奔驰 GLK级 2013款 3.0 自动 GLK300时尚型 改款,35.98,52.65,6.0万公里,2014-07,国4,3.0L/AT自动
大众 高尔夫 2012款 1.4T 自动 舒适型,11.5,15.72,5.6万公里,2014-02,国4,1.4L/DCT双离合
大众 朗逸 2015款 1.6 自动 风尚版,9.98,13.23,3.8万公里,2016-06,国5,1.6L/AT自动
宝马 3系 2013款 2.0T 自动 320Li时尚型,21.88,38.49,14.3万公里,2012-11,国4,2.0L/AT自动
奥迪 A5掀背 2016款 2.0T 自动 45TFSI,33.5,49.8,0.4万公里,2015-11,国4,2.0L/CVT无级变速
奔驰 E级 2010款 1.8T 自动 E260L优雅型CGI,22.5,55.9,11.7万公里,2012-04,国4,1.8L/AT自动
别克 君威 2015款 2.0 自动 精英时尚型,14.0,21.05,1.3万公里,2016-12,国5,2.0L/AT自动
大众 途观 2016款 1.8T 自动 300TSI豪华版四驱,23.6,30.05,1.4万公里,2017-02,国5,1.8L/AT自动
丰田 卡罗拉 2014款 1.6 自动 GL-i,10.88,13.87,4.9万公里,2015-11,国5,1.6L/CVT无级变速
奥迪 A4L 2010款 2.0T 自动 TFSI标准型,14.88,33.63,5.1万公里,2010-10,国4,2.0L/CVT无级变速
别克 君威 2012款 2.0 自动 舒适型,14.0,20.18,8.5万公里,2013-01,国4,2.0L/AT自动
捷豹 XF 2014款 2.0T 自动 豪华版,30.5,66.21,4.5万公里,2014-01,国4,2.0L/AT自动
奔驰 C级 2015款 2.0T 自动 C200L运动型,27.8,40.05,8.9万公里,2014-10,国5,2.0L/AT自动
奥迪 A4L 2013款 2.0T 自动 35TFSI舒适型,22.68,35.81,6.8万公里,2014-04,国4,2.0L/CVT无级变速
奔驰 SL级 2011款 3.5 自动 SL350Grand Edition,53.8,162.6,5.6万公里,2011-10,国4,3.5L/AT自动
路虎 揽胜运动版 2014款 3.0T 自动 SC HSE ,79.8,113.76,4.8万公里,2014-02,国4,3.0L/AT自动
玛莎拉蒂 总裁 2013款 3.0T 自动 标准型,79.8,154.3,8.3万公里,2013-09,国4,3.0L/AT自动
奥迪 A3两厢 2014款 1.4T 自动 35TFSI进取型,17.68,21.7,5.6万公里,2015-02,国5,1.4L/DCT双离合
丰田 普拉多 2016款 3.5 自动 VX NAVI,63.8,67.87,1.1万公里,2017-03,国5,3.5L/AT自动
保时捷 Macan 2014款 2.0T 自动,55.8,60.57,5.0万公里,2015-01,国4,2.0L/DCT双离合
丰田 皇冠 2015款 2.0T 自动 时尚版,27.2,32.0,2.5万公里,2016-09,国5,2.0L/AT自动
奥迪 A7掀背 2014款 3.0T 自动 50TFSI舒适型四驱,55.8,89.88,5.6万公里,2015-06,国4,3.0L/DCT双离合
日产 骐达 2014款 1.6 自动 舒适型,9.58,12.52,2.5万公里,2015-02,国4,1.6L/CVT无级变速
凯迪拉克 SRX 2013款 3.0 自动 舒适型前驱,25.98,46.65,5.3万公里,2013-04,国5,3.0L/AT自动
现代 朗动 2013款 1.6 自动 DLX尊贵型,8.98,14.63,9.3万公里,2014-03,国4,1.6L/AT自动
别克 凯越 2011款 1.6 手动 LE,4.78,11.71,7.5万公里,2011-02,国4,1.6L/MT手动
宝马 5系 2013款 2.0T 自动 525Li豪华型,35.8,53.69,7.2万公里,2014-11,国4,2.0L/AT自动
别克 英朗GT 2012款 1.6 手动 进取型,7.38,14.95,5.8万公里,2012-01,国4,1.6L/MT手动
福特 蒙迪欧 2013款 1.5T 自动 GTDi180时尚型,17.38,20.6,2.3万公里,2016-01,国5,1.5L/AT自动
福特 福克斯两厢 2012款 1.6 自动 舒适型,7.88,14.21,6.3万公里,2012-07,国4,1.6L/DCT双离合
路虎 神行者 2013款 2.2T 自动 SD4 SE 柴油,31.9,54.06,8.2万公里,2013-10,国4,2.2L/AT自动
