act,link,pic,sco,title
刘亦菲、杨洋,http://dianying.2345.com/detail/182401.html,http//imgwx1.2345.com/dypcimg/img/3/60/s182401.jpg?1499830998,8.4,三生三世十里桃花
张震、杨幂,http://dianying.2345.com/detail/165826.html,http//imgwx5.2345.com/dypcimg/img/7/55/s165826.jpg?1458177925,8.8,绣春刀修罗战场
盖尔·加朵、克里斯·派恩,http://dianying.2345.com/detail/35616.html,http//imgwx1.2345.com/dypcimg/img/6/11/s35616.jpg?1495095448,8.0,神奇女侠
彭于晏、倪妮,http://dianying.2345.com/detail/178282.html,http//imgwx2.2345.com/dypcimg/img/d/59/s178282.jpg?1503303793,8.5,悟空传
范·迪塞尔、卢卡斯·布莱克,http://dianying.2345.com/detail/146828.html,http//imgwx1.2345.com/dypcimg/img/2/48/s146828.jpg?1501636750,8.8,速度与激情8
董成鹏、范伟,http://dianying.2345.com/detail/191420.html,http//imgwx2.2345.com/dypcimg/img/1/63/s191420.jpg,8.3,父子雄兵
杰森·斯坦森、迈克尔·安格拉…,http://dianying.2345.com/detail/194223.html,http//imgwx1.2345.com/dypcimg/img/9/64/s194223.jpg,8.5,怒火保镖
王大陆、张天爱,http://dianying.2345.com/detail/182876.html,http//imgwx4.2345.com/dypcimg/img/d/60/s182876.jpg?1500435007,9.0,鲛珠传
白举纲、连奕名,http://dianying.2345.com/detail/192538.html,http//imgwx5.2345.com/dypcimg/img/8/64/s192538.jpg?1504142169,8.7,缉枪
约翰尼·德普、卡雅·斯考达里…,http://dianying.2345.com/detail/148575.html,http//imgwx4.2345.com/dypcimg/img/c/49/s148575.jpg?1505376915,8.9,加勒比海盗5死无对证
张智霖、梅婷,http://dianying.2345.com/detail/160522.html,http//imgwx3.2345.com/dypcimg/img/0/53/s160522.jpg,8.8,京城81号2
汤姆·希德勒斯…、景甜,http://dianying.2345.com/detail/174392.html,http//imgwx2.2345.com/dypcimg/img/1/58/s174392.jpg?1497922453,8.1,金刚骷髅岛
